html_url,forks_count,stargazers_count
https://github.com/hashgraph/hedera-services,137,300
https://github.com/hashgraph/hedera-sdk-js,140,257
https://github.com/hashgraph/hedera-sdk-java,117,212
https://github.com/hashgraph/hedera-improvement-proposal,139,136
https://github.com/hashgraph/hedera-mirror-node,109,132
https://github.com/hashgraph/hedera-sdk-go,65,92
https://github.com/hashgraph/hedera-docs,111,62
https://github.com/hashgraph/hedera-local-node,58,55
https://github.com/hashgraph/hedera-json-rpc-relay,68,51
https://github.com/hashgraph/hedera-sdk-rust,12,29
https://github.com/hashgraph/hedera-protobufs,23,23
https://github.com/hashgraph/did-sdk-js,13,22
https://github.com/hashgraph/hedera-mirror-node-explorer,15,18
https://github.com/hashgraph/did-sdk-java,17,16
https://github.com/hashgraph/hedera-sdk-swift,10,12
https://github.com/hashgraph/hedera-sdk-cpp,14,11
https://github.com/hashgraph/did-method,6,12
https://github.com/hashgraph/solo,6,9
https://github.com/hashgraph/hedera-block-node,2,7
https://github.com/hashgraph/hedera-sdk-tck,1,3
